723,256
584,318
642,411
420,130
561,777
720,90
622,195
645,322
425,349
565,284
318,528
621,632
797,541
316,779
332,521
693,427
561,190
40,360
550,3
349,644
659,103
401,110
292,601
300,485
460,178
606,708
434,350
144,13
718,591
382,301
729,478
480,589
274,255
304,664
289,553
754,317
538,160
395,463
544,651
494,194
230,625
456,318
88,197
164,512
98,21
569,355
116,196
754,714
318,750
562,347
611,330
233,533
124,660
533,350
423,369
337,740
751,254
414,736
266,227
510,144
405,103
621,338
334,794
405,91
180,710
508,411
503,227
375,523
137,175
304,745
792,23
254,107
419,157
53,78
413,453
742,81
416,364
654,346
538,474
405,734
88,502
386,799
769,301
603,96
105,511
355,424
73,682
629,216
404,206
48,126
750,283
347,650
112,582
338,57
381,771
268,351
416,579
648,728
107,585
192,402
6,728
13,37
55,186
13,427
98,540
253,789
471,411
713,533
341,533
291,198
356,712
149,129
746,382
343,734
734,153
546,105
420,276
135,269
261,516
543,675
588,154
663,788
161,625
670,629
470,189
48,483
776,236
100,82
275,676
779,577
606,490
328,381
700,706
352,743
318,563
58,500
340,245
518,279
461,102
619,725
603,23
384,24
688,197
397,717
37,406
158,283
770,138
154,442
430,670
463,421
504,614
278,73
202,45
42,312
506,371
249,753
540,348
475,311
331,234
618,415
588,200
7,472
141,484
579,758
709,80
662,715
687,800
391,215
468,507
706,638
330,470
320,668
769,170
545,515
46,333
80,217
647,335
134,64
162,222
95,132
163,128
407,169
527,655
540,245
230,761
213,688
774,420
82,648
473,140
462,717
139,753
760,720
416,417
394,516
58,54
595,679
567,621
767,557
354,205
281,493
